ASS,ASSEMBLY TIME
CHE,CHEERING PRACTICE
CLA,CLASS HOUR
DIS,DISMISSAL TIME
HET,H.E. TIME
INT,INTEREST CLUB
LIN,LINGGO NG WIKA
LUN,LUNCH TIME
OUT,OUTSIDE SCHOOL
PET,P.E. TIME
PLA,PLAYGROUND
REC,RECESS TIME
SCI,SCIENCE TIME
VAR,VARSITY PRACTICE
WOR,WORKING HOUR
DEN,DENTAL CHECK-UP
TEA,TEAM BUILDING
FET,FIELDTRIP
WWW,WAITING TIME
CCC,CHEERDANCE PERFORMANCE
CAM,CAMP IN
MIL,MILO OLYMPICS
INR,INTRAMURALS
XXX,CHRISTMAS PARTY
EVE,AFTERNOON
SSS,SPA
EEE,MTAP
STC,STCAA PRACTICE
GRA,GRADUATION PRACTICE
TTT,TRANSITION TIME
